sample	control	group	fastq-r1	fastq-r2	genome	fragmentation-size	chip	cell_type
fastq/GSM6481643	NA	fastq/GSM6481643	fastq/GSM6481643_1.fastq.gz	fastq/GSM6481643_2.fastq.gz	hg38	NA	fastq/GSM6481643	fastq/GSM6481643
fastq/GSM6481644	NA	fastq/GSM6481644	fastq/GSM6481644_1.fastq.gz	fastq/GSM6481644_2.fastq.gz	hg38	NA	fastq/GSM6481644	fastq/GSM6481644
fastq/GSM6481645	NA	fastq/GSM6481645	fastq/GSM6481645_1.fastq.gz	fastq/GSM6481645_2.fastq.gz	hg38	NA	fastq/GSM6481645	fastq/GSM6481645
fastq/GSM6481646	NA	fastq/GSM6481646	fastq/GSM6481646_1.fastq.gz	fastq/GSM6481646_2.fastq.gz	hg38	NA	fastq/GSM6481646	fastq/GSM6481646
fastq/GSM6481647	NA	fastq/GSM6481647	fastq/GSM6481647_1.fastq.gz	fastq/GSM6481647_2.fastq.gz	hg38	NA	fastq/GSM6481647	fastq/GSM6481647
fastq/GSM6481648	NA	fastq/GSM6481648	fastq/GSM6481648_1.fastq.gz	fastq/GSM6481648_2.fastq.gz	hg38	NA	fastq/GSM6481648	fastq/GSM6481648
fastq/GSM6481649	NA	fastq/GSM6481649	fastq/GSM6481649_1.fastq.gz	fastq/GSM6481649_2.fastq.gz	hg38	NA	fastq/GSM6481649	fastq/GSM6481649
fastq/GSM6481650	NA	fastq/GSM6481650	fastq/GSM6481650_1.fastq.gz	fastq/GSM6481650_2.fastq.gz	hg38	NA	fastq/GSM6481650	fastq/GSM6481650
fastq/GSM6481651	NA	fastq/GSM6481651	fastq/GSM6481651_1.fastq.gz	fastq/GSM6481651_2.fastq.gz	hg38	NA	fastq/GSM6481651	fastq/GSM6481651
fastq/GSM6481652	NA	fastq/GSM6481652	fastq/GSM6481652_1.fastq.gz	fastq/GSM6481652_2.fastq.gz	hg38	NA	fastq/GSM6481652	fastq/GSM6481652
fastq/GSM6481653	NA	fastq/GSM6481653	fastq/GSM6481653_1.fastq.gz	fastq/GSM6481653_2.fastq.gz	hg38	NA	fastq/GSM6481653	fastq/GSM6481653
fastq/GSM6481654	NA	fastq/GSM6481654	fastq/GSM6481654_1.fastq.gz	fastq/GSM6481654_2.fastq.gz	hg38	NA	fastq/GSM6481654	fastq/GSM6481654
fastq/GSM6481655	NA	fastq/GSM6481655	fastq/GSM6481655_1.fastq.gz	fastq/GSM6481655_2.fastq.gz	hg38	NA	fastq/GSM6481655	fastq/GSM6481655
fastq/GSM6481656	NA	fastq/GSM6481656	fastq/GSM6481656_1.fastq.gz	fastq/GSM6481656_2.fastq.gz	hg38	NA	fastq/GSM6481656	fastq/GSM6481656
fastq/GSM6481657	NA	fastq/GSM6481657	fastq/GSM6481657_1.fastq.gz	fastq/GSM6481657_2.fastq.gz	hg38	NA	fastq/GSM6481657	fastq/GSM6481657
fastq/GSM6481658	NA	fastq/GSM6481658	fastq/GSM6481658_1.fastq.gz	fastq/GSM6481658_2.fastq.gz	hg38	NA	fastq/GSM6481658	fastq/GSM6481658
fastq/GSM6481659	NA	fastq/GSM6481659	fastq/GSM6481659_1.fastq.gz	fastq/GSM6481659_2.fastq.gz	hg38	NA	fastq/GSM6481659	fastq/GSM6481659
fastq/GSM6481660	NA	fastq/GSM6481660	fastq/GSM6481660_1.fastq.gz	fastq/GSM6481660_2.fastq.gz	hg38	NA	fastq/GSM6481660	fastq/GSM6481660
fastq/GSM6481661	NA	fastq/GSM6481661	fastq/GSM6481661_1.fastq.gz	fastq/GSM6481661_2.fastq.gz	hg38	NA	fastq/GSM6481661	fastq/GSM6481661
fastq/GSM6481662	NA	fastq/GSM6481662	fastq/GSM6481662_1.fastq.gz	fastq/GSM6481662_2.fastq.gz	hg38	NA	fastq/GSM6481662	fastq/GSM6481662
fastq/GSM6481663	NA	fastq/GSM6481663	fastq/GSM6481663_1.fastq.gz	fastq/GSM6481663_2.fastq.gz	hg38	NA	fastq/GSM6481663	fastq/GSM6481663
fastq/GSM6481664	NA	fastq/GSM6481664	fastq/GSM6481664_1.fastq.gz	fastq/GSM6481664_2.fastq.gz	hg38	NA	fastq/GSM6481664	fastq/GSM6481664
fastq/GSM6481665	NA	fastq/GSM6481665	fastq/GSM6481665_1.fastq.gz	fastq/GSM6481665_2.fastq.gz	hg38	NA	fastq/GSM6481665	fastq/GSM6481665
fastq/GSM6481666	NA	fastq/GSM6481666	fastq/GSM6481666_1.fastq.gz	fastq/GSM6481666_2.fastq.gz	hg38	NA	fastq/GSM6481666	fastq/GSM6481666
fastq/GSM6481667	NA	fastq/GSM6481667	fastq/GSM6481667_1.fastq.gz	fastq/GSM6481667_2.fastq.gz	hg38	NA	fastq/GSM6481667	fastq/GSM6481667
fastq/GSM6481668	NA	fastq/GSM6481668	fastq/GSM6481668_1.fastq.gz	fastq/GSM6481668_2.fastq.gz	hg38	NA	fastq/GSM6481668	fastq/GSM6481668
fastq/GSM6481669	NA	fastq/GSM6481669	fastq/GSM6481669_1.fastq.gz	fastq/GSM6481669_2.fastq.gz	hg38	NA	fastq/GSM6481669	fastq/GSM6481669
